nome_;genero_;desenvolvedor_;lancamento_;plataformas_
The Sims Reborn;Esporte;Blizzard Entertainment;2019;Mobile
EVE Online Legends;Ação;Bethesda Game Studios;2015;Nintendo Switch
PUBG Infinity;Sandbox;Activision;2002;PlayStation 5
Call of Duty Adventure;Estratégia;Bethesda Game Studios;2018;Nintendo Switch
Assassin's Creed Legends;Terror;Ubisoft;2001;PlayStation 3
Hades Reborn;Puzzle;Nintendo;1999;Xbox
Dota 2 Saga;FPS;Activision;2004;PC
Overwatch Adventure;RPG;Valve;2003;PlayStation 2
The Sims Infinity;Simulação;Bungie;1988;PC
Diablo Saga;Ação;Square Enix;2012;Xbox Series X
Hades Reborn;Esporte;Ubisoft;2009;PlayStation 5
Call of Duty Saga;Puzzle;Bethesda Game Studios;2004;PlayStation 2
Overwatch Chronicles;MMORPG;FromSoftware;2000;PC
Dota 2 Origins;MMORPG;Square Enix;2016;PC
Red Dead Redemption Saga;Esporte;Nintendo;2013;PlayStation 5
Apex Legends Adventure;Battle Royale;Nintendo;1995;PlayStation
Cyberpunk Adventure;Corrida;Square Enix;1997;Xbox
The Sims Infinity;FPS;Valve;2014;Wii U
Call of Duty Adventure;Puzzle;Bethesda Game Studios;1991;Wii U
Elden Ring Origins;Aventura;Nintendo;2013;PlayStation 5
The Sims Chronicles;Terror;Rockstar Games;2008;Nintendo Switch
EVE Online Saga;Battle Royale;Rockstar Games;2007;PlayStation 2
Hades Chronicles;Simulação;Bethesda Game Studios;2001;PlayStation
Minecraft Reborn;MMORPG;Valve;1987;Wii U
PUBG Odyssey;Simulação;Santa Monica Studio;1987;Xbox
Fall Guys Origins;FPS;Supercell;1988;Xbox Series X
The Witcher Origins;Simulação;Supercell;1999;PlayStation 5
Valorant Adventure;Terror;Square Enix;1992;Xbox 360
Hades Adventure;Corrida;FromSoftware;2020;PlayStation 5
Hollow Knight Infinity;Ação;Santa Monica Studio;1993;PC
PUBG Origins;Sandbox;Mojang;1989;Xbox
Assassin's Creed Reborn;Terror;Nintendo;1993;Xbox Series X
Among Us Saga;Corrida;Activision;2022;PC
Stardew Valley Saga;Estratégia;Activision;1992;Xbox Series X
God of War Infinity;Terror;Ubisoft;2002;PlayStation 5
Hollow Knight Chronicles;Aventura;Bungie;1986;Xbox Series X
The Witcher Chronicles;Sandbox;FromSoftware;2020;Mobile
God of War Infinity;MMORPG;CD Projekt Red;2009;PlayStation
Among Us Odyssey;Puzzle;Mojang;1989;Xbox Series X
Apex Legends Legends;Simulação;Bethesda Game Studios;2012;Xbox 360
PUBG Saga;Estratégia;FromSoftware;1996;Wii U
Apex Legends Legends;FPS;FromSoftware;2021;Wii U
Stardew Valley Origins;Sandbox;Rockstar Games;2015;Nintendo Switch
The Witcher Legends;Estratégia;CD Projekt Red;2007;Xbox
The Legend of Zelda Legends;RPG;Valve;2006;PlayStation
Fall Guys Legends;Ação;Nintendo;2013;Xbox 360
Hades Chronicles;Puzzle;Ubisoft;1989;Wii U
Hades Adventure;MMORPG;Valve;2002;PC
Apex Legends Odyssey;Sandbox;Ubisoft;2004;Nintendo Switch
Assassin's Creed Origins;Estratégia;Valve;1991;PC
Fall Guys Legends;Simulação;Santa Monica Studio;2000;Xbox
Call of Duty Odyssey;Puzzle;Mojang;1994;Xbox
Valorant Odyssey;Estratégia;Supercell;1992;Wii U
Stardew Valley Legends;RPG;Mojang;2015;PlayStation 2
Fortnite Adventure;RPG;FromSoftware;2013;Wii U
League of Legends Legends;Aventura;Square Enix;1990;Xbox 360
The Witcher Adventure;Ação;Mojang;1987;PlayStation 3
Fall Guys Reborn;Simulação;Epic Games;1993;PlayStation 5
Overwatch Adventure;Esporte;Valve;2023;PlayStation 5
Hades Saga;Aventura;Activision;1995;Wii U
God of War Infinity;Esporte;Blizzard Entertainment;2017;Wii U
Red Dead Redemption Saga;FPS;Activision;1998;Xbox 360
PUBG Origins;MMORPG;Square Enix;2002;Xbox
PUBG Reborn;Terror;Bethesda Game Studios;2021;PC
Grand Theft Auto Infinity;Battle Royale;Supercell;2020;PlayStation
Among Us Reborn;Terror;Supercell;1999;PlayStation 2
Fortnite Odyssey;Aventura;Activision;1988;PC
Stardew Valley Odyssey;FPS;Ubisoft;2006;PlayStation 5
Valorant Chronicles;Puzzle;Nintendo;2004;PlayStation 3
Cyberpunk Legends;Battle Royale;Epic Games;2001;Xbox 360
The Witcher Adventure;Corrida;CD Projekt Red;2014;Xbox Series X
EVE Online Origins;Terror;Bungie;2015;PlayStation 3
Apex Legends Chronicles;Ação;CD Projekt Red;2006;Mobile
Assassin's Creed Infinity;Battle Royale;Supercell;1998;Nintendo Switch
Hollow Knight Reborn;RPG;Bethesda Game Studios;1989;Xbox
Elden Ring Saga;Corrida;Square Enix;1986;Wii U
Elden Ring Saga;FPS;Bungie;2002;PlayStation
God of War Infinity;Esporte;Santa Monica Studio;2003;Xbox 360
Dota 2 Reborn;Battle Royale;Ubisoft;1995;Wii U
The Legend of Zelda Adventure;Terror;Supercell;2014;PlayStation
Dota 2 Adventure;Simulação;Activision;2020;PlayStation 3
Cyberpunk Infinity;RPG;Mojang;2016;Nintendo Switch
PUBG Odyssey;Terror;Activision;2002;Nintendo Switch
Diablo Chronicles;Estratégia;Nintendo;2008;Xbox Series X
Fortnite Infinity;Corrida;CD Projekt Red;2014;PlayStation 2
Diablo Legends;Esporte;Nintendo;2021;PlayStation 5
EVE Online Legends;Estratégia;FromSoftware;1995;PC
Diablo Infinity;Corrida;Activision;1991;Mobile
Diablo Origins;Sandbox;Blizzard Entertainment;1998;Nintendo Switch
Hades Odyssey;Aventura;Mojang;2012;Nintendo Switch
Valorant Chronicles;MMORPG;Blizzard Entertainment;2002;PlayStation 3
Call of Duty Chronicles;RPG;Mojang;1998;Nintendo Switch
Elden Ring Adventure;MMORPG;CD Projekt Red;2014;PlayStation
League of Legends Odyssey;Battle Royale;Square Enix;2001;Nintendo Switch
Minecraft Legends;FPS;Epic Games;2015;PlayStation 3
Diablo Infinity;RPG;Ubisoft;1990;PC
Among Us Origins;Esporte;Epic Games;2014;Xbox 360
Overwatch Infinity;Sandbox;Ubisoft;2013;Xbox Series X
Hades Odyssey;Simulação;Mojang;1985;Wii U
Valorant Saga;MMORPG;Square Enix;2015;PC
Dota 2 Origins;Terror;Square Enix;2018;Nintendo Switch
Fall Guys Chronicles;Sandbox;Santa Monica Studio;2011;Mobile
Fall Guys Reborn;Estratégia;Bethesda Game Studios;1989;PlayStation 2
Call of Duty Infinity;Corrida;Rockstar Games;2016;Wii U
God of War Origins;Aventura;Epic Games;2000;PlayStation 2
PUBG Chronicles;MMORPG;FromSoftware;2007;Mobile
Valorant Chronicles;Ação;Bungie;1999;Wii U
Dota 2 Reborn;MMORPG;Supercell;2018;Mobile
PUBG Saga;Puzzle;Nintendo;2001;PlayStation 5
Call of Duty Origins;Corrida;Rockstar Games;2007;Wii U
League of Legends Odyssey;Estratégia;Bethesda Game Studios;1992;Mobile
Fortnite Infinity;MMORPG;Valve;2005;PlayStation 2
Red Dead Redemption Adventure;MMORPG;Rockstar Games;2009;Nintendo Switch
League of Legends Infinity;MMORPG;CD Projekt Red;2007;Nintendo Switch
PUBG Saga;RPG;FromSoftware;1993;Xbox 360
The Sims Reborn;Puzzle;Epic Games;1989;PlayStation 2
Valorant Chronicles;FPS;Nintendo;1997;Nintendo Switch
Cyberpunk Origins;Simulação;CD Projekt Red;2006;PlayStation 3
Grand Theft Auto Odyssey;Puzzle;Rockstar Games;2008;PlayStation
Diablo Origins;Esporte;Activision;2000;PlayStation
Assassin's Creed Legends;Aventura;Blizzard Entertainment;1991;PC
Apex Legends Origins;Puzzle;Epic Games;2021;PC
Red Dead Redemption Chronicles;Corrida;Mojang;2000;Xbox 360
Stardew Valley Adventure;Sandbox;Supercell;1988;Wii U
PUBG Reborn;Puzzle;CD Projekt Red;1996;Nintendo Switch
EVE Online Reborn;Simulação;Ubisoft;2000;Xbox Series X
Assassin's Creed Infinity;Esporte;Square Enix;2015;PlayStation 3
Elden Ring Saga;Esporte;Mojang;1995;PlayStation 3
The Legend of Zelda Chronicles;Estratégia;Square Enix;1997;Wii U
Call of Duty Legends;Esporte;Epic Games;1993;Xbox
Assassin's Creed Origins;Battle Royale;Rockstar Games;1991;PlayStation 3
League of Legends Odyssey;MMORPG;Blizzard Entertainment;2023;PC
The Witcher Legends;Estratégia;Mojang;1991;PlayStation
Assassin's Creed Odyssey;Aventura;Blizzard Entertainment;1994;Xbox
The Sims Infinity;Ação;Valve;2012;Wii U
Cyberpunk Reborn;MMORPG;CD Projekt Red;2005;PC
Red Dead Redemption Reborn;Puzzle;Supercell;1990;Xbox
Among Us Chronicles;Sandbox;Mojang;2004;Wii U
Fortnite Infinity;Esporte;Activision;2005;Nintendo Switch
League of Legends Saga;Puzzle;Bethesda Game Studios;2001;PC
Stardew Valley Saga;Simulação;Bungie;2019;PlayStation 2
Grand Theft Auto Saga;MMORPG;FromSoftware;1991;Xbox 360
The Witcher Odyssey;Battle Royale;Activision;2018;Xbox
God of War Infinity;MMORPG;Bethesda Game Studios;2019;Xbox Series X
Cyberpunk Chronicles;Sandbox;Activision;2002;Xbox 360
Red Dead Redemption Saga;FPS;CD Projekt Red;2009;PlayStation 3
God of War Adventure;Battle Royale;Blizzard Entertainment;2023;Xbox
Elden Ring Reborn;Sandbox;Santa Monica Studio;1990;PC
Assassin's Creed Infinity;Esporte;Mojang;1996;Mobile
Fall Guys Chronicles;Puzzle;Bethesda Game Studios;2014;PlayStation
Among Us Chronicles;Aventura;Epic Games;1992;PlayStation
Apex Legends Chronicles;Estratégia;Bungie;1996;Mobile
Red Dead Redemption Odyssey;Puzzle;Bungie;2008;Xbox Series X
Diablo Saga;Puzzle;Supercell;2006;PlayStation 3
The Witcher Infinity;Sandbox;Nintendo;1987;Xbox Series X
The Legend of Zelda Odyssey;FPS;Santa Monica Studio;1985;PlayStation
Stardew Valley Reborn;Puzzle;Ubisoft;2018;Xbox
Dota 2 Infinity;Terror;Ubisoft;1986;Nintendo Switch
Valorant Saga;Aventura;Activision;2022;PlayStation 3
EVE Online Adventure;Esporte;Activision;1998;PC
Grand Theft Auto Adventure;Corrida;Supercell;1994;Xbox
Valorant Adventure;Esporte;Supercell;2003;PlayStation 5
Fortnite Origins;Esporte;Epic Games;2009;Xbox Series X
Hollow Knight Reborn;Corrida;CD Projekt Red;1988;PlayStation
Elden Ring Legends;Sandbox;Square Enix;2011;PlayStation
Assassin's Creed Legends;Sandbox;Ubisoft;1990;Xbox
God of War Saga;Aventura;Valve;2010;Xbox
Fall Guys Origins;Estratégia;Activision;1985;Xbox 360
Diablo Chronicles;Esporte;Bethesda Game Studios;2017;Xbox Series X
God of War Infinity;Estratégia;Epic Games;1990;PlayStation
Call of Duty Legends;Sandbox;Valve;1990;Wii U
Stardew Valley Origins;Battle Royale;Supercell;2004;Nintendo Switch
The Sims Infinity;RPG;Square Enix;2002;PlayStation
Hades Infinity;Aventura;Blizzard Entertainment;2017;PlayStation 2
Diablo Chronicles;FPS;Blizzard Entertainment;2017;PC
Diablo Adventure;Ação;Santa Monica Studio;2020;PlayStation 2
Assassin's Creed Reborn;FPS;Mojang;1999;Mobile
The Legend of Zelda Adventure;Simulação;Ubisoft;2017;PlayStation 5
Hades Chronicles;Ação;Ubisoft;2016;PlayStation 5
Valorant Chronicles;Battle Royale;Blizzard Entertainment;2018;Wii U
Diablo Odyssey;RPG;Ubisoft;1994;Xbox Series X
The Witcher Origins;Battle Royale;Activision;2016;PlayStation 5
Dota 2 Chronicles;Puzzle;Blizzard Entertainment;2002;Mobile
Stardew Valley Chronicles;MMORPG;Bungie;2016;Xbox 360
Fall Guys Adventure;Terror;Bethesda Game Studios;2016;PlayStation 3
Red Dead Redemption Origins;RPG;Nintendo;1987;PC
Valorant Reborn;Corrida;Rockstar Games;1997;PlayStation 3
Assassin's Creed Origins;Aventura;Activision;1995;Wii U
God of War Infinity;RPG;Valve;2011;PlayStation 3
Hades Reborn;Aventura;Ubisoft;2006;PlayStation 2
Diablo Reborn;Puzzle;Valve;2011;Xbox 360
Among Us Saga;FPS;Nintendo;1995;Xbox 360
Valorant Reborn;Sandbox;Epic Games;2010;Xbox 360
Elden Ring Legends;Corrida;Square Enix;1999;PlayStation
Red Dead Redemption Legends;Terror;Ubisoft;2017;Nintendo Switch
Among Us Infinity;MMORPG;FromSoftware;1993;PlayStation 2
Grand Theft Auto Odyssey;FPS;Valve;2001;Nintendo Switch
Assassin's Creed Chronicles;FPS;Epic Games;1987;Xbox 360
Call of Duty Odyssey;MMORPG;Rockstar Games;1998;PlayStation 3
Dota 2 Legends;RPG;Epic Games;2001;PlayStation
Fortnite Legends;Corrida;Square Enix;1985;PlayStation
Call of Duty Reborn;Ação;FromSoftware;2013;PlayStation
Red Dead Redemption Reborn;Terror;CD Projekt Red;1988;Nintendo Switch
Elden Ring Legends;Sandbox;Mojang;1994;Nintendo Switch
Minecraft Infinity;Corrida;Supercell;2000;Mobile
God of War Adventure;Simulação;Ubisoft;1990;Xbox Series X
Call of Duty Chronicles;Aventura;Rockstar Games;1986;Wii U
Call of Duty Adventure;FPS;Nintendo;1991;Nintendo Switch
Overwatch Adventure;Estratégia;Blizzard Entertainment;2013;Xbox Series X
Fall Guys Reborn;Puzzle;Ubisoft;1985;Mobile
League of Legends Chronicles;MMORPG;Epic Games;2023;PlayStation 3
Grand Theft Auto Odyssey;Terror;Supercell;2011;Xbox 360
Hades Chronicles;Sandbox;CD Projekt Red;2002;Xbox
Fortnite Adventure;Terror;Nintendo;2020;PlayStation 3
EVE Online Chronicles;Puzzle;Bethesda Game Studios;1990;PlayStation 5
The Witcher Infinity;Ação;Activision;2000;Xbox
Hollow Knight Chronicles;RPG;Bethesda Game Studios;1991;PC
League of Legends Adventure;FPS;Santa Monica Studio;2020;Mobile
Apex Legends Infinity;Sandbox;Supercell;2010;PC
Minecraft Adventure;Sandbox;Square Enix;1998;Nintendo Switch
Overwatch Odyssey;Estratégia;Blizzard Entertainment;2000;PlayStation
Fall Guys Infinity;Simulação;Supercell;2006;PlayStation 3
Grand Theft Auto Saga;Puzzle;Bungie;1994;Xbox
Call of Duty Reborn;Ação;Santa Monica Studio;1989;Xbox 360
The Sims Reborn;MMORPG;Nintendo;2013;PlayStation
Valorant Origins;Corrida;Nintendo;2004;Mobile
Hollow Knight Chronicles;Sandbox;Santa Monica Studio;2019;Xbox
Stardew Valley Reborn;Sandbox;Blizzard Entertainment;2021;Xbox
Fall Guys Origins;Battle Royale;Epic Games;1992;Mobile
The Sims Infinity;Aventura;Nintendo;1997;Xbox 360
The Sims Odyssey;Estratégia;Epic Games;2022;Mobile
Fortnite Legends;Aventura;Valve;2010;PC
Elden Ring Origins;Ação;Supercell;2019;Xbox 360
The Legend of Zelda Adventure;MMORPG;Mojang;1988;Xbox Series X
Call of Duty Reborn;MMORPG;Nintendo;2019;PC
The Witcher Infinity;Puzzle;Bethesda Game Studios;1991;Nintendo Switch
League of Legends Infinity;Esporte;FromSoftware;2021;Xbox 360
Grand Theft Auto Adventure;Sandbox;Activision;2019;Nintendo Switch
The Witcher Reborn;Sandbox;Blizzard Entertainment;2023;Wii U
EVE Online Legends;Aventura;Nintendo;1997;Nintendo Switch
Dota 2 Saga;RPG;Activision;2015;PlayStation 5
Fortnite Odyssey;MMORPG;Valve;2005;Xbox
Valorant Chronicles;Puzzle;Epic Games;1995;Nintendo Switch
PUBG Infinity;Sandbox;Mojang;2001;Mobile
